Наименование товара,ID Маркетплейс,Артикул поставщика,Мерчант,Описание,Торговая марка (бренд),Штрих-код,"Размеры в упаковке: ширина, мм","Размеры в упаковке: длина, мм","Размеры в упаковке: высота, мм","Вес в упаковке, кг",Страна-производитель,Короткое название для чека,Название для листинга,Название для сайта,ID Товара в ERP мерчанта,Дизайн,Вес без упаковки (кг),Материал основы,Материал верха,Влагостойкость,Рельеф,Назначение,Тип клея,Марка,Подбор рисунка,Цвет,Высота рисунка (см),Ширина рисунка (см)
Янтарь Фотообои DECOCODE 21-0249-AE (1),90000526,21-0249-AE,ООО РЕГИОНПРОЕКТ,"<p>Виниловые фотоОбои «Янтарь» на флизелиновой основе имеют характерный ярко-желтый рисунок. С их помощью можно разнообразить свой интерьер, привнеся перчинку в приевшуюся обстановку. Темный, неброский фон позволяет использовать Обои в спальне, кабинете или в общественных местах, например, кафе, создавая приятную атмосферу в классическом стиле.
ФотоОбои «Янтарь» от фабрики «Регион проект» полностью безопасны и имеют широкий ряд преимуществ:
- Стойки к истиранию, долговечные.
- Поверхность влагостойка, возможна влажная уборка с использованием химических средств.
- Сохраняют форму после поклейки.
- Отсутствие необходимости нанесения клея на полотно.
- Способность скрывать недостатки поверхности стены.
- Приятная вельветовая фактура.",Регион проект,4627087327040,100,100,1000,1.64,Россия,Фотообои DECOCODE 21-0249-AE,Фотообои DECOCODE 21-0249-AE,"Фотообои «Янтарь», виниловые, 200х280 см, 90000526",f0d2ee7d-084a-11e5-bb61-5404a6d27925,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Взгляд хищника Фотообои DECOCODE 13-0310-NG (1),90000432,13-0310-NG,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Взгляд хищника» фабрики «Регион проект» с изображением тигра будут одинаково эффектно смотреться в любой комнате, будь то гостиная, спальня или рабочий кабинет. Но у них есть и другие преимущества:
● Фактура песка делает изображение еще более объемным и «живым».
● С течением лет внешний вид обоев сохраняет свою привлекательность — флизелиновая основа надежно поддерживает форму, а винил устойчив к выгоранию.
● Можно протирать смоченной в воде или мыльном растворе тряпочкой.",Регион проект,4627087327675,100,100,1000,1.2,Россия,Фотообои DECOCODE 13-0310-NG,Фотообои DECOCODE 13-0310-NG,"Фотообои «Взгляд хищника», виниловые, 130х250 см, 90000432",50e521fc-9fd9-11e5-7591-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Олива Фотообои DECOCODE 11-0242-AG (1),90000396,11-0242-AG,ООО РЕГИОНПРОЕКТ,"ФотоОбои Decocode 11-0242-AG (1) «Олива» – это яркие цвета детально проработанного изображения, которое сохраняет яркость даже под влиянием прямых солнечных лучей. Благодаря высокой плотности (215 г/м²) и флизелиновой основе Обои отталкивают влагу и сохраняют форму, отлично маскируя дефекты стен.
Вертикальная полоса легко наклеивается и за счёт фактуры «Вельвет» создаёт небольшой объём. Чтобы удалить загрязнения, можно протирать влажной салфеткой без использования химических моющих средств.",Регион проект,4627087326975,100,100,1000,1.08,Россия,Фотообои DECOCODE 11-0242-AG,Фотообои DECOCODE 11-0242-AG,"Фотообои «Олива», виниловые, 100х280 см, 90000396",73bf8508-0848-11e5-bb61-5404a6d27925,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Тенистая улочка Фотообои DECOCODE 11-0401-YG (1),90000399,11-0401-YG,ООО РЕГИОНПРОЕКТ,"Создать уютный уголок в современной гостиной можно с помощью флизелиновых фотообоев Decocode 11-0401-YG (1) «Тенистая улочка». Изображение проработано до мельчайших деталей, а его насыщенные, сочные краски сохраняют яркость под влиянием прямых солнечных лучей.
Износостойкие и водонепроницаемые Обои легко и быстро наклеиваются и, благодаря фактуре «Вельвет», напоминающей бархатистую ткань, позволяют замаскировать неровности и другие дефекты стен. Они отличаются увеличенной плотностью (215 г/м²), и после просыхания сохраняют форму, а также хорошо пропускают воздух, позволяя поверхности «дышать».",Регион проект,4627087328016,100,100,1000,1.08,Россия,Фотообои DECOCODE 11-0401-YG,Фотообои DECOCODE 11-0401-YG,"Фотообои «Тенистая улочка», виниловые, 100х280 см, 90000399",1da4106a-f5b4-11e5-7289-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Закат на море Фотообои DECOCODE 13-0288-MY (1),90000417,13-0288-MY,ООО РЕГИОНПРОЕКТ,"Сочные фотоОбои «Закат на море» фабрики «Регион проект» станут приятным дополнением для гостиной или спальни, привнеся в помещение еще немного уюта и красоты. И, конечно же, помимо эстетической привлекательности, у этих фотообоев есть и другие достоинства:
● Флизелиновая основа долго сохраняет форму и вид.
● Винил устойчив к воздействию солнечных лучей.
● Песочная фактура делает картину более объемной и реалистичной.",Регион проект,4627087327453,100,100,1000,1.2,Россия,Фотообои DECOCODE 13-0288-MY,Фотообои DECOCODE 13-0288-MY,"Фотообои «Закат на море», виниловые, 130х250 см, 90000417",4f68605e-9fd5-11e5-7591-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Легкость Фотообои DECOCODE 21-0177-FB (1),90000509,21-0177-FB,ООО РЕГИОНПРОЕКТ,"Парашютики одуванчиков, изображенные на фотообоях «Легкость», одновременно нежные и графичные. Монохромное изображение требует особого сопровождения. Лучше, если в выбранной комнате будет доминировать та же черно-белая гамма, разбавленная яркими акцентами в виде подушек, посуды и аксессуаров. Сам принт достаточно универсален. Подойдет и для гостиной, и для спальни, и для прихожей. ФотоОбои на флизелиновой основе с виниловым покрытием «Легкость» фирмы «Регион проект» обеспечивают:
• удобство и простоту монтажа (и демонтажа, если потребуется);
• долгое сохранение покрытия в том же виде, как в только что наклеенном состоянии;
• маскировку неровностей и трещин в стене.",Регион проект,4627087326036,100,100,1000,1.64,Россия,Фотообои DECOCODE 21-0177-FB,Фотообои DECOCODE 21-0177-FB,"Фотообои «Легкость», виниловые, 200х280 см, 90000509",c198ae6b-5ce4-11e4-b261-002590f180b5,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Воздушный поцелуй Фотообои DECOCODE 14-0494-AW (1),90000482,14-0494-AW,ООО РЕГИОНПРОЕКТ,"Отпечатки губ красной помадой на белом фоне. Романтичные фотоОбои хорошо подойдут для спальни и гостиной. Они станут хорошим фоном для светлой, темной или яркой мебели, создавая неповторимую атмосферу. Изображение выполнено на двух полосах, которые могут использоваться отдельно или вместе.
Среди преимуществ виниловых фотообоев на флизелиновой основе «Воздушный поцелуй» фабрики «Регион проект» можно выделить:
• Обои подходят для различных поверхностей.
• Легко и быстро клеятся.
• Фактура вельвета скрадывает стыки.
• Легко переносят влажную уборку.",Регион проект,4627126671097,100,100,1000,6.56,Россия,Фотообои DECOCODE 14-0494-AW,Фотообои DECOCODE 14-0494-AW,"Фотообои «Воздушный поцелуй», виниловые, 200х280 см, 90000482",66ebe848-acbf-11e6-8b99-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Камин Фотообои DECOCODE 31-0190-KE (1),90000585,31-0190-KE,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Камин» хорошо будут смотреться в тех помещениях, где уместен настоящий камин. Прежде всего, это гостиная. Но если в доме отведена достаточно просторная комната под кабинет или библиотеку, этот декор подойдет и для них. Оформить помещение придется в классическом стиле, чего требуют присутствующие на изображении колонны. Хотя, у смелых экспериментаторов есть повод удариться в отчаянную эклектику. А вот с установкой листов и их дальнейшим использованием экспериментировать ни к чему, потому что винилово-флизелиновые Обои «Камин» от «Регион проекта»:
• легко наклеиваются;
• скрывают шероховатости на стене;
• позволяют влажную очистку.",Регион проект,4627087326173,100,100,1000,2.2,Россия,Фотообои DECOCODE 31-0190-KE,Фотообои DECOCODE 31-0190-KE,"Фотообои «Камин», виниловые, 300х280 см, 90000585",80122d14-5ce4-11e4-b261-002590f180b5,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Домик на опушке Фотообои DECOCODE 26-0513-CG (1),90000564,26-0513-CG,ООО РЕГИОНПРОЕКТ,"Создать дома сказку помогут фотоОбои «Домик на опушке». Нежный и добрый рисунок подойдет не только для оформления детской комнаты, но и будет красиво смотреться в гостиной или даже в спальне. Эти Обои придадут уюта любому интерьеру. На их фоне отлично будет выглядеть классическая мебель и соответствующий дизайн.
Поверхность фотообоев рельефная, напоминающая полотно. Тиснение качественное, печать рисунка долговечная. А еще фотоОбои «Домик на опушке» фабрики «Регион проект» могут похвастаться такими особенностями:
• легкость монтажа и демонтажа;
• простота уборки влажным и сухим способом;
• долговечность рисунка;
• стойкость к ультрафиолету.",Регион проект,4627087329204,100,100,1000,1.6,Россия,Фотообои DECOCODE 26-0513-CG,Фотообои DECOCODE 26-0513-CG,"Фотообои «Домик на опушке», виниловые, 260х250 см, 90000564",6ed2ba42-f643-11e5-5884-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Горы Фотообои DECOCODE 13-0293-PG (1),90000420,13-0293-PG,ООО РЕГИОНПРОЕКТ,"Универсальные по стилю фотоОбои на флизелиновой основе фабрики «Горы» фабрики «Регион проект»станут приятным дополнением к любой комнате. Картина хорошо будет смотреться в любом интерьере, а сочные цвета и объемная фактура песка делают ее реалистичной. У этих фотообоев есть и другие достоинства:
● Долговечная и прочная флизелиновая основа не деформируется, так что Обои не потеряют формы со временем.
● Виниловое покрытие легко чистится от пыли и грязи с помощью влажной губки.
● Обои не боятся влаги и не выгорают на солнце.
● Так как основа отличается плотностью, под этими фотообоями легко скрыть небольшие дефекты стены.",Регион проект,4627087327507,100,100,1000,1.2,Россия,Фотообои DECOCODE 13-0293-PG,Фотообои DECOCODE 13-0293-PG,"Фотообои «Горы», виниловые, 130х250 см, 90000420",7d5e211e-9fd6-11e5-7591-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Тэбби Фотообои DECOCODE 14-0485-AE (1),90000478,14-0485-AE,ООО РЕГИОНПРОЕКТ,"Черный геометрический орнамент на бежевом фоне — незаменимая составляющая этнических стилей. Такие фотоОбои займут достойное место в гостиной, спальне или в офисе. Полотно выполнено на двух полосах, которые можно использовать по отдельности или вместе. Благодаря фактуре вельвета место стыка не будет видно.
<p>Виниловые фотоОбои на флизелиновой основе «Тэбби» фабрики «Регион проект» обладают рядом преимуществ:
• Простота и удобство поклейки (клей наносится только на стену).
• Прочность и плотность полотна.
• Износостойкость и долговечность.
• Светоустойчивость (сохраняют насыщенность цветов на солнце).",Регион проект,4627087329341,100,100,1000,1.64,Россия,Фотообои DECOCODE 14-0485-AE,Фотообои DECOCODE 14-0485-AE,"Фотообои «Тэбби», виниловые, 200х280 см, 90000478",f22f6876-f64e-11e5-5884-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Каменная стена Фотообои DECOCODE 13-0441-AE (1),90000454,13-0441-AE,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Каменная стена» реалистично передают отделку камнем. Фактура природного материала хорошо подойдет для гостиной и прихожей в эко-стиле и стиле лофт. Каменная стена станет отличным фоном как для светлой, так и для темной мебели, подчеркивая индивидуальные черты интерьера.
<p>Виниловые Обои на флизелиновой основе «Каменная стена» фабрики «Регион проект» обладают следующими преимуществами:
• Песочная структура обоев четко и реалистично передает изображение.
• Они плотные и эластичные, сохраняют форму при поклейке.
• Они подходят для различных типов поверхности (гипсокартон, штукатурка).
• Удобно и быстро клеятся (клей наносится только на стену).",Регион проект,4627087328597,100,100,1000,1.2,Россия,Фотообои DECOCODE 13-0441-AE,Фотообои DECOCODE 13-0441-AE,"Фотообои «Каменная стена», виниловые, 130х250 см, 90000454",b1d45d42-f63d-11e5-4a99-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Сицилия Фотообои DECOCODE 13-0321-MV (1),90000436,13-0321-MV,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Сицилия» фабрики «Регион проект» — настоящее окно в провинциальную Италию. Эта модель фотообоев будет одинаково хорошо смотреться в любом классическом интерьере, но у нее есть и другие преимущества:
● Полотно отталкивают влагу, поэтому их можно спокойно размещать на кухне, а в случае необходимости — протирать влажной губкой.
● Виниловый материал долгие годы сохраняет красоту и яркость красок.
● Флизелиновая основа надежна и долговечна, благодаря ей Обои сохранят форму даже спустя много лет.",Регион проект,4627087327781,100,100,1300,1.2,Россия,Фотообои DECOCODE 13-0321-MV,Фотообои DECOCODE 13-0321-MV,"Фотообои «Сицилия», виниловые, 130х250 см, 90000436",072dcece-9fde-11e5-7591-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Ветка сакуры Фотообои DECOCODE 13-0287-PR (1),90000416,13-0287-PR,ООО РЕГИОНПРОЕКТ,"Выдержанные в пастельных тонах фотоОбои «Ветка сакуры» фабрики «Регион проект» гармонично впишутся в любой светлый интерьер, будь то спальня или гостиная. Нежная картина вызывает умиротворение и помогает расслабиться, настроившись на спокойный лад, и в целом обладает ценными преимуществами:
● Винил сохраняет яркость на солнце.
● Прочная флизелиновая основа упрощает монтаж.
● Песочная фактура добавляет фотообоям реалистичности.
● Для очистки обоев достаточно протереть их смоченной в воде губкой.",Регион проект,4627087327446,100,100,1000,1.2,Россия,Фотообои DECOCODE 13-0287-PR,Фотообои DECOCODE 13-0287-PR,"Фотообои «Ветка сакуры», виниловые, 250х130 см, 90000416",2c8e454e-9fd5-11e5-7591-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Кубы Фотообои DECOCODE 13-0419-AB (1),90000443,13-0419-AB,ООО РЕГИОНПРОЕКТ,"«Кубы» — 3D-Обои с изображением белых кубов. Они визуально меняют пространство, увеличивая его. Хорошо подойдут для спальни, комнаты подростка и гостиной. Будут актуальны для современных стилей, таких, как минимализм, поп-арт, хай-тек, арт-деко. Монохромное панно станет хорошим фоном и подчеркнет яркие детали интерьера .
Среди преимуществ фотообоев на флизелиновой основе «Кубы» фабрики «Регион проект» можно выделить:
• Простоту и удобство поклейки (клей наносится только на стену).
• Прочность и плотность полотна.
• Светоустойчивость (сохраняют насыщенность цветов на солнце).",Регион проект,4627087328375,100,100,1000,1.2,Россия,Фотообои DECOCODE 13-0419-AB,Фотообои DECOCODE 13-0419-AB,"Фотообои «Кубы», виниловые, 250х130 см, 90000443",b708c4a8-f63b-11e5-b585-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Сити Фотообои DECOCODE 13-0295-WE (1),90000422,13-0295-WE,ООО РЕГИОНПРОЕКТ,"Стильные флизелиновые фотоОбои «Сити» фабрики «Регион проект», выдержанные в мягких тонах, станут отличным дополнением для гостиной, кабинета или офиса. Классическая строгость в них сочетается с детально воспроизведенным захватывающим пейзажем, настраивающим на серьезный лад. Впрочем, у них есть и другие преимущества:
● Большой размер и фактура песка делают картину объемной и реалистичной, неотличимой от настоящей профессиональной фотографии.
● Винил отталкивает влагу, он сохраняет яркость под воздействием солнечного света.
● Флизелин отличается прочностью, долговечностью и устойчивости к деформации.",Регион проект,4627087327521,100,100,1300,1.2,Россия,Фотообои DECOCODE 13-0295-WE,Фотообои DECOCODE 13-0295-WE,"Фотообои «Сити», виниловые, 130х250 см, 90000422",e639f762-9fd6-11e5-7591-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Любовь в Париже Фотообои DECOCODE 11-0082-KB (1),90000385,11-0082-KB,ООО РЕГИОНПРОЕКТ,"ФотоОбои Decocode 11-0082-KB (1) «Любовь в Париже» на флизелиновой основе изготовлены из экологически чистых материалов и подойдут для оформления гостиной или спальни. После высыхания сохраняют форму и позволяют, таким образом, скрыть неровности стен. Фактура типа «Вельвет» имитирует бархатистую ткань, благодаря чему интерьер становится более изысканным.
Обои легко приклеиваются, при этом клей можно наносить сразу на стену. Удалить загрязнения можно салфеткой, смоченной в воде.",Регион проект,4627087324476,100,100,1000,1.08,Россия,Фотообои DECOCODE 11-0082-KB,Фотообои DECOCODE 11-0082-KB,"Фотообои «Любовь в Париже», виниловые, 100х280 см, 90000385",d0edeb14-5ce4-11e4-b261-002590f180b5,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Антик Фотообои DECOCODE 12-0478-RW (1),90000409,12-0478-RW,ООО РЕГИОНПРОЕКТ,"ФотоОбои Decocode 12-0478-RW (1) «Антик» с бархатистой текстурой помогут скрыть дефекты стен и создать оригинальный интерьер в гостиной или спальне. Они имеют флизелиновую основу, обладают высокой прочностью на разрыв, после высыхания сохраняют форму. Матовую поверхность можно протирать влажной салфеткой, чтобы удалить несложные загрязнения.
Изображение на фотообоях с увеличенной плотностью 215 г/м² проработано до мельчайших деталей. Оно сохраняет яркость и насыщенность красок даже под воздействием прямого солнечного света.",Регион проект,4627126671110,100,100,1000,6.56,Росиия,Фотообои DECOCODE 12-0478-RW,Фотообои DECOCODE 12-0478-RW,"Фотообои «Антик», виниловые, 200х280 см, 90000409",3db0ba54-acbe-11e6-8b99-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Сумерки Фотообои DECOCODE 13-0545-WV (1),90000470,13-0545-WV,ООО РЕГИОНПРОЕКТ,"Поздний вечер над мостом. Тусклые огни города в вечернем тумане. Приятный сиренево-фиолетовый колорит изображения дарит ощущение покоя и тишины. Такое панно займет достойное место в гостиной и в спальне, создавая романтическую атмосферу. На его фоне светлая мебель будет особенно интересна.
<p>Виниловые фотоОбои на флизелиновой основе «Сумерки» фабрики «Регион проект» обладают рядом преимуществ:
• Наклеиваются на любые виды поверхности (гипсокартон, штукатурка и т.д.).
• Их быстро и легко клеить (клей наносится только на стену).
• сохраняют насыщенность и яркость цветов надолго.
• Не боятся влажной уборки (можно протирать смоченной в мыльном растворе).",Регион проект,4627126670199,100,100,1300,4.8,Россия,Фотообои DECOCODE 13-0545-WV,Фотообои DECOCODE 13-0545-WV,"Фотообои «Сумерки», виниловые, 130х250 см, 90000470",58a5d916-ac9b-11e6-8b99-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Ветка орхидеи Фотообои DECOCODE 21-0007-FR (1),90000492,21-0007-FR,ООО РЕГИОНПРОЕКТ,"Использованная в обоях «Ветка орхидеи» фактура «вельвет» способствует реалистичности картинки из серии «Оранжерея». Крупное и лаконичное изображение требует достаточно просторного помещения. Задаст тон для создания цельного интерьера в классическом стиле, остается только поддержать расцветку полотна и форму рисунка в других элементах: обивке мебели и аксессуарах. ФотоОбои «Ветка орхидеи» фабрики «Регион проект» прослужит долго благодаря своим свойствам:
• устойчивость к механическим повреждениям и деформациям;
• светостойкость;
• сохраняют форму при поклейке;
• легко очищаются при влажной уборке.",Регион проект,4627087323714,100,100,1000,1.64,Россия,Фотообои DECOCODE 21-0007-FR,Фотообои DECOCODE 21-0007-FR,"Фотообои «Ветка орхидеи», виниловые, 200х280 см, 90000492",47a14c83-5ce4-11e4-b261-002590f180b5,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Лилиана Фотообои DECOCODE 12-0479-AR (1),90000410,12-0479-AR,ООО РЕГИОНПРОЕКТ,"Состоящие из двух отдельных листов фотоОбои «Лилиана» на флизелиновой основе фабрики «Регион проект» великолепно дополнят интерьер, выполненный в классическом или винтажном стиле. Узоры будут хорошо сочетаться с изящной мебелью, а насыщенный цвет — отлично гармонировать как с темными, так и со светлыми помещениями. Среди преимуществ этих обоев можно выделить следующие важные моменты:
● Долговечность — сохраняют насыщенность цветов на солнце.
● Стойкость к деформации.
● Простота уборки — можно просто протереть влажной губкой, очистив их тем самым от пыли.",Регион проект,4627126671127,100,100,1000,6.56,Россия,Фотообои DECOCODE 12-0479-AR,Фотообои DECOCODE 12-0479-AR,"Фотообои «Лилиана», виниловые, 200х280 см, 90000410",b7752dfc-acbe-11e6-8b99-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Сафари Фотообои DECOCODE 13-0308-NE (1),90000430,13-0308-NE,ООО РЕГИОНПРОЕКТ,"Выдержанные в теплых тонах фотоОбои «Сафари» фабрики «Регион проект» станут универсальным дополнением к любой комнате и любому интерьеру. Они будут хорошо смотреться как в приемной в офисе, так и дома, будучи размещенными на стене гостиной, спальни или кухни. Они устойчивы к влаге и пыли. Помимо этого, у нее есть и другие преимущества:
● Универсальный дизайн, который будет гармонично смотреться в самых разных помещениях.
● Надежная флизелиновая основа, стойкая к деформации и сохраняющая форму долгие годы.
● Долговечное виниловое покрытие.",Регион проект,4627087327651,100,100,1300,1.2,Россия,Фотообои DECOCODE 13-0308-NE,Фотообои DECOCODE 13-0308-NE,"Фотообои «Вариация», виниловые, 130х250 см, 90000430",fcb0264a-9fd8-11e5-7591-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Вариация 1 Фотообои DECOCODE 14-0483-AB (1),90000476,14-0483-AB,ООО РЕГИОНПРОЕКТ,"Деликатный растительный узор, как тончайшее кружево, составляет восточный орнамент. Приятные бирюзовые оттенки зрительно увеличивают пространство. Полотно состоит из двух полос, их можно использовать отдельно или вместе. Хорошо подойдет для спальни или гостиной. На его фоне одинаково хорошо будет смотреться светлая и темная мебель. 
Среди преимуществ фотообоев «Вариация 1» фабрики «Регион проект» на флизелиновой основе можно выделить:
• Они подходят для различных типов поверхности (гипсокартон, штукатурка).
• Скрывают мелкие неровности.
• Удобно и быстро клеятся (клей наносится только на стену).
• Сохраняют насыщенность цветов надолго.
• Легко демонтируются.",Регион проект,4627087328986,100,100,1000,1.64,Россия,Фотообои DECOCODE 1 14-0483-AB,Фотообои DECOCODE 1 14-0483-AB,"Фотообои «Вариация», виниловые, 200х280 см, 90000476",bcf78c38-f64e-11e5-5884-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Аллюр Фотообои DECOCODE 13-0309-NE (1),90000431,13-0309-NE,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Аллюр» фабрики «Регион проект» выдержаны в теплых, мягких тонах, и они привнесут немного уюта в любую комнату. Универсальный дизайн этой модели позволяет гармонично вписать ее в самые разные помещения — кухня, гостиная, спальня или прихожая, особенно при условии наличия хорошего освещения. Но список достоинств фотообоев можно продолжить:
● Винил сохраняет яркость красок долгие годы.
● Песочная фактура делает изображение объемным и реалистичным, а высокая детализация только усиливает этот эффект.
● Можно протирать влажной губкой, чтобы удалить с них пыль или любые другие загрязнения.",Регион проект,4627087327668,100,100,1300,1.2,Росиия,Фотообои DECOCODE 13-0309-NE,Фотообои DECOCODE 13-0309-NE,"Фотообои «Аллюр», виниловые, 130х250 см, 90000431",28ec53f0-9fd9-11e5-7591-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Сиеста Фотообои DECOCODE 21-0335-BE (1),90000532,21-0335-BE,ООО РЕГИОНПРОЕКТ,"Структурные фотоОбои с виниловым покрытием «Сиеста» отлично подойдут для спальни или гостиной, визуально расширив помещение и создав эффект присутствия. Чтобы добиться максимально реалистичного изображения, фрагменты обоев нужно клеить «встык».
Преимущества фотообоев «Сиеста» фабрики «Регион проект»:
●виниловая поверхность обоев стойкая к солнечному свету, также Обои просты в использовании — во время уборки достаточно просто протереть их влажной салфеткой;
●флизелиновая основа оптимизирует процесс наклеивания;
●яркий принт на фотообоях скроет все возможные неровности на стенах;
●качественная фотопечать.",Регион проект,4627087328092,100,100,1000,1.64,Россия,Фотообои DECOCODE 21-0335-BE,Фотообои DECOCODE 21-0335-BE,"Фотообои «Сиеста», виниловые, 200х280 см, 90000532",6ccc22c6-f5b5-11e5-7289-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
СвежЕсть Фотообои DECOCODE 13-0296-FW (1),90000423,13-0296-FW,ООО РЕГИОНПРОЕКТ,"Изготовленные на прочной и надежной флизелиновой основе фотоОбои «Свежесть» фабрики «Регион проект» вызывают ощущение прохладного утра, запаха росы и благоухания свежих цветов. Разместив их на стене в спальне или в гостиной, можно заполучить постоянный источник бодрого весеннего настроения. Они не только красивы, но и долговечны, и обладают множеством преимуществ:
● Виниловое покрытие отличается стойкостью к выгоранию и выцветанию, не тускнея со временем.
● Можно протирать влажной тряпочкой.
● Универсальный стиль делает эту модель фотообоев подходящей к практически любому интерьеру.",Регион проект,4627087327538,100,100,1300,1.2,Россия,Фотообои DECOCODE 13-0296-FW,Фотообои DECOCODE 13-0296-FW,"Фотообои «Свежесть», виниловые, 130х250 см, 90000423",4ea36004-9fd7-11e5-7591-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Нью-Йорк ретро Фотообои DECOCODE 21-0019-RB (1),90000497,21-0019-RB,ООО РЕГИОНПРОЕКТ,"Графичные черно-белые громады небоскребов на фотообоях «Нью-Йорк ретро» смягчаются легким оттенком сепии. Фактура «вельвет» дает реалистичную картинку. Уместно для столовой зоны, для прихожей, для комнаты подростка. <p>Виниловые Обои «Нью-Йорк ретро» на основе флизелина от фабрики «Регион проект» обладают такими преимуществами, как:
• простая, надежная и экономичная поклейка;
• устойчивость материала к выцветанию, истиранию, возгоранию;
• водонепроницаемость.",Регион проект,4627087323837,100,100,1000,1.64,Россия,Фотообои DECOCODE 21-0019-RB,Фотообои DECOCODE 21-0019-RB,"Фотообои «Нью-Йорк ретро», виниловые, 200х280 см, 90000497",ee061d37-5ce4-11e4-b261-002590f180b5,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Белые тюльпаны Фотообои DECOCODE 11-0160-FG (1),90000391,11-0160-FG,ООО РЕГИОНПРОЕКТ,"ФотоОбои Decocode 11-0160-FG (1) «Белые тюльпаны» помогут скрыть неровности и дефекты стен, освежить современную гостиную и сделать ее более светлой и просторной. За счет фактуры «Вельвет», напоминающей ткань, интерьер смотрится оригинально. Обои имеют повышенную плотность (215 г/м²) и флизелиновую основу, благодаря чему прочны и влагостойки, а после полного высыхания сохраняют форму.
Изображение проработано до мельчайших деталей. Насыщенность цветов сохраняется на протяжении длительного времени. Обои можно протирать влажной салфеткой, чтобы удалить пыль и загрязнения.",Регион проект,4627087325480,100,100,1000,1.08,Россия,Фотообои DECOCODE 11-0160-FG,Фотообои DECOCODE 11-0160-FG,"Фотообои «Белые тюльпаны», виниловые, 100х280 см, 90000391",397f2093-5ce4-11e4-b261-002590f180b5,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
